,qid,query
598,1313,Coral bleaching devastates Great Barrier Reef
599,1314,Higher temperatures killing thousands to tens of thousands Americans
600,1315,cold kills more people
601,1316,Administration's report undermines climate action
602,1317,Climate change reducing cold days
603,1322,"Temperatures rise, reduction in premature deaths from cold vs. increase in deaths from heat in US"
604,1324,Cold deaths moderate temperatures
605,1325,"Lancet researchers find 0.5% of deaths linked to heat, including cardiac events and dehydration."
606,1326,"Deaths from cold-related illnesses, including hypothermia, increased blood pressure, and heart attacks."
607,1327,Migration patterns to warm states
608,1331,"More than half of 44 studies found CO2's impact on marine life (crabs, limpets, sea urchins, sponges)"
609,1333,ocean buffering capacity
610,1334,Can we release enough CO2 to make pH < 7?
611,1339,Dr. Browman's statement on ocean acidification
612,1342,worsening of tidal flooding in American coastal communities due to greenhouse gases from human activity
613,1343,Roughly three quarters of tidal flood days in east coast towns due to sea level rise from human emissions
614,1347,"Recent Paris climate agreement not ambitious enough to prevent Greenland and Antarctica melting, but may slow pace."
615,1350,Until late 1990s
616,1351,Marginally significant warming trend
617,1353,"Temperatures in 1999 were nearly 0.3°C lower than in 1998, with a similar expected change this time."
618,1354,La Niña
619,1357,Is worldwide weather becoming more extreme?
620,1360,trend in downward
621,1362,2015 not hottest year on record
622,1365,Satellite temperature readings since 1979 show 1998 as warmest.
623,1367,"Temperatures were warmer than today for most of the past few thousand years, including during human civilization."
624,1369,Record El Niño temperatures
625,1372,El Niño continues into 2016
626,1374,"Temperatures rise slowly, less than half as fast as predicted in 1990."
627,1375,The world is warming by 0.5°C
628,1376,"planet was warmer than today several times in past 10,000 years"
629,1377,"no change in frequency/intensity of storms, floods, and droughts; fewer deaths from these disasters"
630,1378,Antarctica gaining land-based ice
631,1381,"Temperatures 15-45°C, 27-81°F warmer by the end of the century"
632,1383,Warming may bring gains due to CO2 causing crops and ecosystems to grow greener and more drought-resistant.
633,1384,Cooling impact of sulfate emissions on global warming
634,1386,"Global warming alarmists' preferred electricity source, wind power, kills nearly 1 million bats annually and over 500,000 birds in the US."
635,1387,Killing 30m bats annually due to climate change concerns
636,1389,Why not 2014 Queensland heat wave as severe as 1972?
637,1390,Lyme disease commoner in northern US regions
638,1394,Pine beetle infestations decline in western US
639,1395,extreme weather events and their costs decline with warming
640,1397,Alarmists claim healthier plants due to global warming are a bad thing.
641,1399,Since 2012
642,1400,late 70s marked end of 30 year cooling trend
643,1401,Polar ice caps extensive since 1920s
644,1402,polar ice recession since 2005
645,1404,Receding polar ice caps and their impact on human health and welfare
646,1406,Yet NASA says one temp sensor needed
647,1407,Temperature is not an amount.
648,1410,"temperature, viscosity, density, phone numbers cannot be averaged"
649,1411,Global temperature statistic
650,1414,Earth's mini ice age in 15 years
651,1416,"Recent decades' warming, rising sea levels, increasing extreme weather events"
652,1420,trapped in the atmosphere these gases prevent sun's warmth from being dispersed
653,1421,Methane release from polar ice caps and high altitude plains
654,1425,"Each year, thousands of plant and animal species disappear."
655,1426,coral reefs in decline
656,1430,warmest years since 2000
657,1431,"Deforestation causes 11% of human greenhouse gas emissions, comparable to car and truck emissions."
658,1433,11% of global population vulnerable to climate change impacts
659,1434,Just 0.07 of world's forests are coastal mangroves yet they store up to 10 times as much carbon per hectare as tropical forests
660,1435,"Coastal ecosystems destroyed annually, releasing CO2."
661,1441,195 countries sign Paris Agreement
662,1444,"Natural climate solutions creating 80M jobs, bringing 1B people out of poverty, adding $2.3T growth"
663,1445,CO2 emissions from commercial operations in 2018
664,1447,"Flights from US airports emit a quarter of global passenger transport CO2, with two-thirds coming from domestic flights."
665,1448,top 5 countries for passenger aviation carbon emissions
666,1449,"CO2 from commercial aviation linked to passenger movement in narrowbody, then widebody, then regional aircraft"
667,1451,The planet's average surface temperature rise
668,1452,"Warming occurred in past 35 years, 5 warmest years since 2010"
669,1453,"Not only was 2016 warmest year on record, 8/12 months warmest"
670,1454,"oceans absorbing increased heat, top 700m/2300ft warmed by >0.4°F since 1969"
671,1455,Greenland and Antarctic ice sheet mass decrease
672,1458,Glaciers retreating globally
673,1460,sea level rise
674,1462,Arctic sea ice decline
675,1463,"number of record high temperature events in US increasing, record low temperature events decreasing since 1950"
676,1464,increasing intense rainfall events
677,1465,"Since industrial revolution, ocean water acidity increase"
678,1466,Increase in CO2 absorption by oceans due to human emissions
679,1467,carbon dioxide absorption in ocean layers increasing by 2 billion tons annually
680,1468,Arsonists and lightning strikes causing Australian bushfires
681,1469,Discovery of massive volcanic CO2 emissions discredits global warming theory
682,1473,Geological forces responsible for melting of polar ice sheets
683,1474,Etna's CO2 emissions
684,1475,Over 500 scientists and professionals send European climate declaration to UN Secretary General
685,1476,global mean temperature rise above 2°C
686,1477,Human produced carbon not significant factor
687,1479,Humans warming planet
688,1480,US leads world in reducing emissions after Paris Accord
689,1481,Based on the increase of solar activity
690,1482,"Proxies indicate world was same or warmer 1,000 years ago"
691,1484,new solar driven cooling period approaching
692,1485,human contribution to global warming
693,1486,greenhouse gases cause half of global warming
694,1487,NASA adjusts past temperatures
695,1488,EVS worse for climate than diesel cars
696,1490,Carbon dioxide levels last seen 3 million years ago
697,1492,Sea level rise due to climate change
698,1495,models predicted 3x more warming since 1988
699,1498,Carbon dioxide's effect on global climate
700,1499,sea level rise doesn't depend on ocean temperature or CO2
701,1502,"Temperatures in Australia increased by 0.3 degrees over the past century, not 1 degree as claimed."
702,1503,Climate models overestimating global warming
703,1504,Global warming makes Hurricane Harvey worse
704,1505,According to official figures
705,1506,likely ocean waters control knob climate change
706,1507,"Global warming not a myth, 80 graphs from 58 peer-reviewed papers"
707,1508,Global warming ceased since 1997
708,1510,Doubling CO2 levels would cause warming of 0.3-1.1°C
709,1512,Human-induced warming
710,1513,Carbon dioxide primary contributor to global warming
711,1515,Was 2016 a global temperature record?
712,1516,U.S. shatters high temperature records frequently
713,1517,Rigorous scientific research shows human activities drive climate change.
714,1519,Earth's climate change due to GHGs and particulate matter.
715,1523,Human influence on climate
716,1524,Human influence dominant cause of observed warming since mid-twentieth century
717,1525,Changing climate poses significant risks globally
718,1529,"Human activities, main cause of rapid warming since 1900s"
719,1530,Humans change Earth's climate
720,1531,Earth's climate change due to human activities
721,1532,Warming of the climate system since 1950s
722,1533,"atmosphere and ocean warming, snow and ice diminishing, sea level rising"
723,1539,cosmic rays causing climate change
724,1541,global warming exaggerates sea level rise
725,1543,Medieval warm period warmer than current warming
726,1544,Arctic ice melt
727,1545,co2 in atmosphere has little to no effect
728,1546,CO2 emissions
729,1547,water vapor
730,1548,polar bear numbers
731,1549,no empirical evidence for climate change
732,1551,coming out of the little ice age
733,1553,Winter 2009-2010 saw record cold spells
734,1555,El Niño
735,1557,Pacific Decadal Oscillation
736,1558,Thermodynamics contradicting greenhouse theory
737,1559,cloud feedback
738,1560,sea level rise predictions
739,1562,Methane causing climate change
740,1565,climate change
741,1566,Solar cycle length is the sun
742,1567,IPCC temperature rise
743,1568,sea ice increasing
744,1569,sea level rise deceleration
745,1570,humans insignificance in affecting global climate
746,1572,Phil Jones' statement about no global warming since 1998
747,1575,Arctic sea ice loss matches Antarctic sea ice gain
748,1576,solar cycles and global warming
749,1577,"Over 31,000 scientists sign OISM petition"
750,1578,less than half of scientists endorse global warming
751,1579,volcanic activity warming
752,1580,stomatal CO2 levels
753,1582,Tuvalu sea level not rising
754,1584,renewables cannot provide baseload power
755,1586,ice sheet losses
756,1588,Arctic not warming
757,1591,Murry Salby's findings on CO2 rise
758,1592,Human caused global warming disproof
759,1594,stratospheric water vapor stopping global warming
760,1598,adapting to global warming cheaper than preventing
761,1599,Cosmic rays cause global warming
762,1601,sunspot correlation
763,1602,Antarctica too cold to lose ice
764,1603,sea level rise
765,1604,CO2 increase not human caused
766,1605,retracted claim on sea level rise
767,1606,renewable energy investment kills jobs
768,1607,CO2 limits won't cool the planet
769,1608,Schmittner finds low climate sensitivity
770,1609,Greenland's ice loss
771,1614,Arctic sea ice extent lower
772,1615,Extreme weather damage costs increasing due to climate change
773,1616,UAH atmospheric temperatures
774,1617,human caused global warming attribution
775,1618,global warming during industrial revolution
776,1619,Hansen's 1988 prediction on West Side Highway being underwater in 20 years
777,1620,Great Barrier Reef
778,1622,Post disproved greenhouse effect
779,1623,Underground temperatures controlling climate
780,1625,heatwave risk
781,1626,Climate changes
782,1627,Global warming and sun
783,1629,most climate experts agree humans cause global warming
784,1631,warming trend in rural and urban areas
785,1634,Antarctica losing land ice at an accelerating rate
786,1638,Worry about global warming impacts
787,1640,Recent global temperatures unprecedented
788,1643,Gore's book accurate
789,1644,Glaciers retreating
790,1645,Cosmic rays and global warming
791,1647,Global warming worsens extreme weather events
792,1648,sea level rise
793,1649,Urban and rural regions show same warming trend
794,1652,CO2 effect observed by many measurements
795,1653,ocean warming
796,1654,Climate scientists making more money elsewhere
797,1655,Recent global warming attributed to humans
798,1656,"natural cycle balances co2, humans add extra"
799,1657,IPCC predictions underestimate climate response
800,1658,"Rising CO2 increases atmospheric water vapor, worsening global warming"
801,1659,many species endangered
802,1660,benefits of a price on carbon outweigh costs
803,1662,Greenland got warmer other parts of earth colder
804,1663,Greenland's ice loss
805,1665,effects of CO2 on terrestrial plants
806,1667,"Mars and Jupiter not warming, Sun cooling"
807,1668,arctic sea ice retreat
808,1669,Co2-temperature correlation
809,1670,Scientists determine factors for Little Ice Age cooling not causing global warming
810,1672,Global temperature rising
811,1673,co2 and sun temperature
812,1674,Early 20th century warming
813,1675,Earth warming
814,1677,a cold day in Chicago has no relation to global warming
815,1678,No known natural forcing fits fingerprints of observed warming
816,1683,PDO not responsible for global warming trend
817,1684,The 2nd law of thermodynamics and the greenhouse effect
818,1685,Climate predictions
819,1688,least impacted by climate change
820,1689,Net cloud feedback likely positive
821,1690,Human caused global warming
822,1691,Sea level rise accelerating due to rapid ice melting
823,1692,oceans warming and acidifying
824,1698,around 97% of climate experts agree on human-caused global warming
825,1700,Methane and permafrost
826,1702,CO2 levels globally
827,1703,Humidity rising
828,1705,flowers flowering earlier UK
829,1707,CO2 levels rising rapidly
830,1708,Decline in northern tree rings
831,1711,Global warming
832,1712,The sun's energy output has not increased significantly since 1970.
833,1713,ocean absorbing co2
834,1714,Monckton's use of IPCC equation
835,1715,CO2 driving climate change
836,1717,Global CO2 emission cuts
837,1718,High northern latitudes warmer today than in 1940
838,1719,When accounting for costs
839,1721,"Sea level rise since 1880, future sea level rise predictions"
840,1722,Humans' impact on global warming
841,1724,Lindzen and Choi's paper
842,1725,Iris hypothesis not withstanding time
843,1729,Delayed warming tipping points
844,1734,Jim Hansen's mid-level scenario B
845,1741,Volcanic cooling effect on global warming
846,1743,"Arctic sea ice shrinkage, summer multi-year sea ice disappearance within a decade"
847,1744,Sea level rise claims disputed due to manipulated data contradicting observations.
848,1745,The IPCC updates temperature history graphs.
849,1747,Independent inquiry found CRU's rigor and honesty
850,1751,Benny Peiser's criticism of Oreskes
851,1753,Trenberth's discussion on energy flows
852,1756,"Melting ice absorbs sunlight, heats Arctic"
853,1758,Temperature errors in Great Lakes region
854,1761,Rise in atmospheric CO2 due to human emissions
855,1765,Humans causing rise in atmospheric CO2
856,1769,CO2 emissions accelerating global warming
857,1771,Grand Solar Minimum's cooling effect on human-caused global warming
858,1772,"Preventing global warming is relatively cheap, while business as usual will cause accelerating climate damage costs that economists struggle to estimate."
859,1773,Global CO2 trend
860,1774,cern cloud experiment tested one third of requirements for blaming global warming on cosmic rays
861,1775,Venus' early history and CO2 atmosphere
862,1776,claims to be part of 97% disagree with contrarian argument on human impact on global warming
863,1782,Coral atolls drowning due to slow growth
864,1783,Internal variability cannot account for global warming over the past century
865,1784,CO2 increase due to human fossil fuel burning
866,1785,Global temperature rise continues
867,1786,CFCS and global warming
868,1789,CO2 limits can slow global warming
869,1790,Study finds low probability of both low and high climate sensitivities
870,1792,"Greenland's ice loss accelerating, adding meters to sea level rise"
871,1793,Arctic temperature rising sharply
872,1794,Ben Santer's role in the 1995 IPCC report.
873,1796,Natural cycles superimposed on a linear warming trend
874,1798,"global warming's impact on ice sheets, sea levels, and climate"
875,1799,Satellite transmissions small
876,1802,temporary drop in sea level in 2010 due to la nina
877,1806,IPCC's 95% confidence in human responsibility for global warming
878,1807,CO2 emissions smaller 100 years ago
879,1813,"Postma's model contains errors, does not undermine greenhouse effect"
880,1814,heat energy from earth
881,1815,humans and climate changes
882,1817,Greg Hunt's emissions reduction fund at $13.95 per tonne of carbon
883,1818,Hydrofluorocarbons (HFCs) more polluting than CO2
884,1819,no warming in 17 years
885,1821,conservatives' budget omitting climate change
886,1822,Trudeau's carbon tax to raise gas prices by 11 cents per liter
887,1824,Nature's carbon emissions
888,1825,Climate change hoax
889,1826,Air pollution delays
890,1827,Rob Portman votes for climate change bill
891,1829,climate change and isis
892,1830,Wind energy slows down wind
893,1831,Koch Industries' environmental impact
894,1834,Burning coal may cause future warming due to added CO2.
895,1837,BP wrote a major part of Kerry-Lieberman climate change bill
896,1842,Koko the gorilla issues a warning about climate change
897,1844,"After 9/11 attacks, no commercial air traffic"
898,1845,Alaska Sen Mark Begich supports carbon tax
899,1849,Australia has more solar coverage
900,1850,Households benefit $550/year from axing carbon tax
901,1851,Barack Obama and Joe Biden to establish 10% federal RPS for clean energy by 2012
902,1853,Barack Obama's proposal for funding state and federal agencies to protect fish and wildlife from climate change
903,1854,Global warming
904,1855,"Barack Obama helping Gulf Coast restore wetlands, marshes, and barrier islands for hurricane resilience"
905,1857,As Obama closes Mississippi River Gulf Outlet
906,1859,Nevada families without solar panels pay higher power bills to subsidize rooftop solar
907,1860,Bill Nye proposes penalizing families
908,1861,California legislators make climate change denial a crime
909,1862,global warming not caused by carbon dioxide
910,1865,James Hansen warns of up to 30 ft sea level rise in 50 yrs.
911,1866,Global temps increasing less than expected
912,1867,Connie Mack protecting Chevron from pollution lawsuit
913,1868,Currently Florida prohibits buying electricity from companies with solar panels.
914,1869,"Fewer Americans carpool today than in 1980, despite SUVs being a larger proportion of vehicle sales."
915,1871,Donald Trump believes climate change is Chinese hoax
916,1872,trump claims global warming hoax
917,1874,Donald Trump signs executive order on climate change
918,1875,Doubling CO2 levels would cause warming of 0.3-1.1°C
919,1876,Nancy Pelosi's Copenhagen trip cost
920,1877,Democrats offer amendment to acknowledge climate change as real and human-caused in jobs and energy bill.
921,1878,Scrap carbon tax
922,1880,Electricity rates higher in states with renewable energy targets
923,1882,every other american home or business goes solar
924,1887,Florida's regulatory climate for business
925,1890,Germany's use of renewables and CO2 output
926,1893,Global warming and Zika virus spread
927,1895,Palin believes climate change not man-made
928,1896,Carbon emissions reduced by 20% over 40 years using nature
929,1898,Solar heated water tanks in Florida
930,1901,"If sea levels rise 6ft due to climate change, Waterplace Park & Wickford Village"
931,1904,Solar energy from a 100-mile square area in the southwestern desert
932,1908,fracking's climate impact
933,1909,sea level rise in south florida since 1920s
934,1910,it takes as much energy as it generates
935,1912,Julia Gillard's decision not to argue against a fixed carbon price being labelled a carbon tax.
936,1917,May 2018 marked 401st straight months of global temperatures exceeding 20th century average
937,1919,"Measurements indicate Arctic sea ice increased, Greenland glacial ice didn't melt as much in 2017, casting doubt on global warming."
938,1920,Melting of Arctic sea ice and polar icecaps not occurring at unnatural rates
939,1921,"Miami Congressman Carlos Curbelo supports offshore drilling, repeatedly votes against President Obama's efforts to combat climate change."
940,1922,More money dedicated to climate change at Homeland Security than combating Islamist terrorism online in US.
941,1923,"over 260,000 Americans employed in solar industry, 3x more than coal mining"
942,1928,Antarctica gaining ice
943,1931,"New Jersey loses 50 football fields of open space daily due to development, exacerbating downstream flooding."
944,1932,Newspaper article from 1922 discussing Arctic Ocean climate change
945,1933,Newt Gingrich teamed with Nancy Pelosi and Al Gore on global warming
946,1935,No state generates as much solar power as California.
947,1937,"Co2 not a pollutant, higher levels support ecosystems."
948,1938,Obama's Clean Power Plan and CO2 emissions
949,1943,most scientists believe human contribution to climate change
950,1944,United States reduced carbon pollution over eight years
951,1945,President Trump criticizes Belgian government over Paris climate deal
952,1946,"Obama's proposal allows US to cut carbon emissions, while China/India can increase theirs."
953,1947,President Trump's climate change pick
954,1948,Recent record low water levels in Lake Michigan
955,1951,Scientists question man-made global warming causing climate change
956,1952,Arctic to be ice-free in summer 2013
957,1953,Scotland's toughest climate targets
958,1955,George Lemieux voted to let oil companies off hook
959,1960,Solar panels harness the sun's energy
960,1962,Earth surface temperatures stabilized
961,1963,Tallahassee reduces carbon intensity by 40%
962,1968,early start to daylight saving time and global warming
963,1970,Business councils call for carbon tax repeal
964,1971,wind energy footprint
965,1973,carbon tax's impact on Alcoa's Point Henry Aluminium smelter
966,1975,Scientists believe humans cause climate change
967,1977,China's commitment under the Paris Agreement
968,1980,Three Nobel economists support direct tech investment over carbon tax
969,1981,EPA Director under Obama said Clean Power Initiative wouldn't affect CO2 emissions
970,1983,Polar vortex and ice not melting
971,1984,most recent survey of climate scientists on co2 climate change
972,1985,Pole ice changes
973,1986,The Obama administration constrained by the Oil Pollution Act of 1990
974,1987,Obama's coal mining proposal
975,1988,The Obama administration's EPA says Clean Power Plan has marginal impact on climate change
976,1991,United States leads world in doubting climate change
977,1995,"solar energy jobs in US, except Georgia"
978,1996,solar industry jobs outnumber coal mining jobs
979,1998,climate change and nsw bushfires
980,1999,No relationship between temperature and carbon dioxide emissions
981,2000,There isn't a Republican primary candidate
982,2004,They Clinton and Obama not involved in climate change
983,2008,Tony Abbott must respect government's mandate on carbon tax
984,2009,Top scientist Hal Lewis resigns over climate change
985,2011,"U.S. pays $1 billion to Green Climate Fund, top polluters pay nothing"
986,2012,"Sen Ron Johnson led fight to allow unlimited carbon pollution and took $225,000 from polluters"
987,2013,Sen Ron Johnson voted to allow unlimited carbon emissions
988,2020,Weather Channel co-founder John Coleman claims global warming is a hoax.
989,2021,Weather Channel co-founder John Coleman's claims about climate change.
990,2024,Wisconsin employers cite anti-business litigation climate as key factor in expansion decisions
991,2027,Increased ice Antarctica due to global warming
992,2028,Cutting speed limits
993,2029,Bill Gates warns pandemic misery will happen regularly if climate change isn't stopped
994,2030,Opponents of climate action getting more airtime than proponents
995,2032,Current solar minimum
996,2034,IPCC AR5 temperature forecasts exceeded actual readings
997,2036,Global surface temperature change
998,2037,renewable energy installations in EU 2018 less than half 2010
999,2038,Australian droughts occurred when global temperatures were lower
1000,2040,Australia reducing emissions
1001,2041,reduced query: flaws in statistical analysis justifying government action
1002,2042,Recent research indicates fossil fuel quantities in atmosphere less
1003,2047,Contrary to rising temperature caused by increasing CO2
1004,2048,CO2 a greenhouse gas
1005,2049,The millennium drought
1006,2052,no evidence 7000 ppm CO2 causes ocean acidity
1007,2054,cooling of climate despite rising CO2 levels (1940-1976)
1008,2055,"Over the past one million years, climate cycles caused by solar energy, planetary alignments, and ocean currents."
1009,2057,"increase in atmospheric methane in late 20th century initially attributed to grazing & rice cultivation, but actually due to Soviet pipeline leaks"
1010,2058,"Methane levels stable, fluctuating during El Nino events"
1011,2059,Heat wave increase
1012,2060,hurricanes strengthening due to global warming
1013,2062,Global warming increases droughts and floods
1014,2065,Global warming causes snow disappearance
1015,2067,"Arctic, Antarctic, Greenland ice loss accelerating due to global warming"
1016,2068,Global warming responsible for 2019 July warmth in Alaska
1017,2069,ocean acidification harming marine life
1018,2070,"When life is considered, ocean acidification is often found to be not a problem or even beneficial"
1019,2071,carbon pollution hazard
1020,2075,rate of global sea level rise falling
1021,2076,Snowfall increasing in North America
1022,2077,increase in damage due to population growth in vulnerable areas and poor forest management
1023,2078,floods and droughts unchanged since fossil fuel use
1024,2081,heat wave frequency decrease since 1930s
1025,2083,Climategate emails suggest conspiracy
1026,2084,hurricanes and global warming
1027,2086,global warming causes extreme weather
1028,2090,Arctic ice melt
1029,2091,water vapor
1030,2092,polar bear numbers
1031,2093,CO2's impact on public health
1032,2096,coming out of the little ice age
1033,2099,Thermodynamics contradicting greenhouse theory
1034,2100,IPCC Himalayan glaciers
1035,2101,cloud feedback
1036,2103,IPCC was wrong about Amazon rainforest
1037,2104,Greenland ice sheet not collapsing
1038,2105,CO2 residence time over 100 years
1039,2106,decline in global temperature
1040,2110,climate change
1041,2111,Global warming
1042,2113,IPCC temperature rise
1043,2114,corrupted peer review process
1044,2117,"Sea level rise since 1880, future sea level rise predictions"
1045,2118,humans insignificance in affecting global climate
1046,2119,Lindzen and Choi find low climate sensitivity
1047,2120,Phil Jones' statement about no global warming since 1998
1048,2121,Infrared iris reducing global warming
1049,2122,Dropped stations warming bias
1050,2123,Tree rings diverging from temperature after 1960
1051,2127,"Over 31,000 scientists sign OISM petition"
1052,2128,less than half of scientists endorse global warming
1053,2130,stomatal CO2 levels
1054,2132,foi requests ignored
1055,2134,Tuvalu sea level not rising
1056,2136,renewables cannot provide baseload power
1057,2141,satellite error and great lakes temperatures
1058,2142,Soares finds no CO2-temperature link
1059,2144,Human caused global warming disproof
1060,2147,exponential increase in CO2 leads to linear increase in temperature
1061,2150,adapting to global warming cheaper than preventing
1062,2152,Venus' greenhouse effect
1063,2153,sunspot correlation
1064,2157,CO2 increase not human caused
1065,2160,renewable energy investment kills jobs
1066,2161,CO2 limits won't cool the planet
1067,2163,"Schmittner et al. study finds low prob. of both low & high climate sensitivities, with lower IPCC estimate based on new LGM temp. reconstruction"
1068,2164,Greenland's ice loss
1069,2165,Ben Santer rewritten the 1995 IPCC report.
1070,2167,embrace skepticism
1071,2168,IPCC graph showing accelerating trends
1072,2170,Extreme weather damage costs increasing due to climate change
1073,2171,UAH atmospheric temperatures
1074,2173,global warming during industrial revolution
1075,2178,Loehle and Scafetta's 60-year cycle
1076,2181,humans survived past climate changes
1077,2184,alligators found in Spitzbergen during ice ages and warmer periods
1078,2187,"Greenhouse gases, particularly CO2, controlled ancient climate changes."
1079,2189,Humans' CO2 emissions main cause of climate change
1080,2192,Solar activity influences global climate warming
1081,2193,Global warming sun cooling trend
1082,2199,consequences of climate change worsen with each degree of warming
1083,2200,petition by 31000 scientists on CO2 and global warming
1084,2201,Academies of science and climate science organizations agree on human-caused global warming.
1085,2202,More specifically climate researchers endorsing consensus position
1086,2204,Global warming
1087,2205,"Global warming stopping, cooling beginning"
1088,2206,most climate models predict warming
1089,2208,"Earth's heat content accumulating, global warming"
1090,2209,Surface temperatures cool
1091,2210,Models' fudge factors fit to climate data
1092,2212,"While uncertainties exist with climate models, they accurately replicate past trends."
1093,2213,Warming trend in rural and urban areas
1094,2214,"weather stations near air conditioning units, asphalt, roads, sidewalks, and buildings"
1095,2215,waste digestion temperatures higher than surrounding areas
1096,2217,Urban heat island effect and microsite influences have negligible effect on long term trends
1097,2219,increase in temperatures since 1975
1098,2221,Natural temperature measurements confirm accuracy of instrumental temperature record
1099,2222,global climate change and mass extinctions
1100,2223,Climate change's rapid pace makes adaptation via migration unlikely for many species.
1101,2227,Earth's climate system warming since 1998
1102,2229,"Antarctica losing land ice at accelerating rate, implications for sea level rise"
1103,2230,Ice expanding in Antarctica
1104,2236,majority of peer reviewed research predicted warming due to increasing co2
1105,2238,Rise in CO2 lags temperature rise by 200-1000 years
1106,2241,Earth's orbit warming
1107,2242,oceans releasing co2
1108,2243,CO2 amplifying warming
1109,2244,CO2 causes warming
1110,2245,CO2 increase causes global warming
1111,2246,"Dr. Spencer's latest research shows that IPCC-imagined temperature feedbacks are net negative, attenuating warming instead of enhancing it in the short term."
1112,2247,"Best estimate: warming from CO2 doubling may be 1°F, not 6°F predicted by IPCC."
1113,2248,Climate sensitivity can be calculated empirically
1114,2250,"Global warming skeptics argue low climate sensitivity, 1°C temperature change from doubled CO2."
1115,2255,"Ice Age ended 11,500 years ago"
1116,2256,warming effect from CO2 vs Earth's orbit/solar activity
1117,2257,harmless emissions of carbon dioxide can't acidify oceans
1118,2260,Increasing ocean acidity
1119,2261,Oceanography journal's PH projections
1120,2262,Since 1998 hockey stick paper
1121,2263,"Hockey stick conclusion, 20th century warmest in 1000 years, warming most dramatic after 1920"
1122,2266,Investigations found no evidence of wrongdoing
1123,2267,Suggestive emails distract from empirical evidence for man-made global warming
1124,2268,"""emails and documents show evidence of a scandal involving prominent scientists promoting man-made warming theory"""
1125,2272,"scientists' honesty not in doubt, IPCC conclusions unaffected by behavior"
1126,2275,Constant global storm coverage
1127,2276,Warming increases hurricane intensity
1128,2277,An expert witness said Al Gore's film was broadly accurate.
1129,2280,"While there are minor errors in An Inconvenient Truth, the main truths presented, evidence to show mankind is causing global warming and its various impacts is consistent with peer-reviewed science."
1130,2282,Glaciers worldwide retreating
1131,2283,accelerating global melt rate since 1970s
1132,2284,"Cosmic ray counts increasing, global temperature cooling"
1133,2286,Regulating earth's cloud cover affects sun's temperature
1134,2288,Cosmic rays and global temperatures over 30 years
1135,2289,Recent years cosmic rays record temperatures
1136,2290,"Hypothetically, increasing solar magnetic field deflecting galactic cosmic rays seeding low-level clouds decreasing Earth's reflectivity causing global warming"
1137,2293,Steve McIntyre noticed a strange discontinuity in US temperature data
1138,2295,Warmest year on US record is 1934
1139,2298,USA's temperature record in 2012
1140,2300,Austria sees earliest snowfall in history
1141,2302,Global temperatures warming 0.2°C/decade since 1970s
1142,2303,weather affects long term trend
1143,2304,record cold temperatures during global warming
1144,2305,Record high temperatures occurring twice as often as record lows
1145,2308,likely natural droughts of the 20th century
1146,2312,Tuvalu sinking
1147,2313,Local tide gauge disagreed with no sinking around 1990
1148,2317,sea level rise accelerating
1149,2318,Ross Mckitrick and Patrick Michaels' paper
1150,2319,Urban areas warmer than rural areas have little impact on warming trends
1151,2320,While Medieval warm period saw unusually warm temperatures globally
1152,2323,Mars warming
1153,2325,"Mars' climate driven by dust and albedo, no long-term warming evidence."
1154,2326,Record low ice coverage in northern hemisphere 2007
1155,2328,late 1970s data on what
1156,2329,Northwest Passage open
1157,2330,Arctic sea ice retreating
1158,2333,minor greenhouse gases like CO2 warm the earth
1159,2335,Satellite measurements of infrared spectra over 40 years observe less CO2 energy escape.
1160,2336,downward infrared radiation warming the planet's surface
1161,2337,CO2 causes global warming
1162,2338,amount of warming caused by anthropogenic co2
1163,2344,Early Argo cooling bias
1164,2347,reduced query: most climate research funding comes from federal govt and left-wing foundations
1165,2358,co2 emissions balanced by natural absorptions
1166,2359,Human emissions upset CO2 levels
1167,2360,Human CO2 emissions vs. atmospheric rise
1168,2361,IPCC formed to build case for human cause of global warming
1169,2363,IPCC lead authors
1170,2365,Climate change occurring more rapidly and intensely than IPCC predictions
1171,2366,Increased CO2 and water vapor amplify warming
1172,2369,Clear evening skies lead to temperature drop and frost.
1173,2370,"If there's cloud cover, heat is trapped."
1174,2374,water vapour dominant greenhouse gas
1175,2377,Polar bear population trends
1176,2378,costs of inaction vs costs of mitigation
1177,2381,Economic assessments of carbon pricing
1178,2384,Economy harmed by not implementing CO2 limits
1179,2387,"Greenland ice sheet at least 400,000 years old, warming not global 1,000 years ago"
1180,2390,There may have been greener Greenland
1181,2391,Greenland's ice loss
1182,2394,Greenland ice sheet thickness increase from 1993 to 2003.
1183,2395,Greenland's coastlines losing ice
1184,2396,Greenland losing ice mass
1185,2398,CO2's primary impact on oceans.
1186,2399,"excessive greenhouse effect impacts agriculture, health, environment"
1187,2400,CO2's role in life on Earth
1188,2401,Mother Earth has ruled CO2 not a pollutant
1189,2402,CO2 poses a threat to public health and welfare
1190,2406,CO2 and water required for photosynthesis
1191,2409,"Less energy escapes to space due to CO2 acting as a blanket, with increasing CO2 making it thicker."
1192,2410,Carbon dioxide emissions and global warming
1193,2411,Reduced query: can computer models be considered as evidence?
1194,2413,CO2 absorption wavelengths
1195,2414,Ocean temperature measurements continue to accumulate heat
1196,2417,"Mars, Triton, Pluto, Jupiter's climate influenced by Sun"
1197,2420,Sun's temperature since 1950
1198,2422,"As of today, JAXA shows more ice than any other day in the past 8 years of Aqua satellite measurements for AMSR-E dataset."
